DISTRICT,AREA (ha.) Final estimate,AREA (ha.) Revised final estimate,AREA (ha.) Average last 5 yrs. Yr ending,AREA IRRIGATED(ha.),PRODUCTION (MT) Final estimate,PRODUCTION (MT) Revised final estimate,PRODUCTION (MT) Average last 5 yrs. Yr ending,yield,YIELD (Kg/ha.) Revised final estimate,YIELD (Kg/ha.) Average last 5 yrs. Yr ending,pincode
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332047
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332048
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332049
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332050
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332724
SIKAR REGION,198972,216630,225155,197710,707252,731270,786247,3555,3376,3492,332051
Alwar,144470,201390,199065,144469,699995,977129,894951,4845,4852,4496,301001
Bharatpur,90585,134130,143420,90583,418130,631782,642200,4616,4710,4478,321001
Dholpur,42664,57673,61358,41694,201978,265871,274096,4734,4610,4467,328001
S.Madhopur,62570,70357,72816,62548,264839,294039,303882,4233,4179,4173,322001
Karoli,65602,80136,79353,65430,291072,337280,335894,4437,4209,4233,303110
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321001
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321002
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321003
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321004
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321005
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321006
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321007
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321008
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321009
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321010
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321011
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321012
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321013
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321014
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321015
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321016
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321017
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321018
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321019
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321020
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321021
BHARATPUR REGION,405891,543686,556012,404724,1876014,2506101,2451023,4622,4609,4408,321022
